"Date (UTC)","Loss","Jitter","Avg RTT","Min RTT","Max RTT"
"2017-09-10 16:10:12","0.0","3.392003","163.0","158.0","180.0"
"2017-09-10 16:15:14","0.0","3.4592","163.0","158.0","180.0"
"2017-09-10 16:20:13","0.0","7.234377","166.0","157.0","214.0"
"2017-09-10 16:25:14","0.0","3.645596","164.0","158.0","181.0"
"2017-09-10 16:30:13","0.0","6.681606","166.0","158.0","235.0"
"2017-09-10 16:35:12","0.0","8.783184","167.0","157.0","219.0"
"2017-09-10 16:40:13","0.0","2.168002","162.0","158.0","169.0"
"2017-09-10 16:45:13","0.0","5.427998","166.0","158.0","203.0"
"2017-09-10 16:50:12","0.0","6.08481","166.0","158.0","212.0"
"2017-09-10 16:55:12","0.0","8.992012","169.0","158.0","228.0"
"2017-09-10 17:00:13","0.0","2.66561","163.0","157.0","191.0"
"2017-09-10 17:05:12","0.0","7.934404","168.0","157.0","215.0"
"2017-09-10 17:10:14","0.0","2.284801","162.0","158.0","172.0"
"2017-09-10 17:15:13","0.0","7.041602","166.0","156.0","218.0"
"2017-09-10 17:20:12","0.0","2.862402","162.0","157.0","171.0"
"2017-09-10 17:25:14","0.0","7.832799","167.0","157.0","222.0"
"2017-09-10 17:30:12","0.0","4.667198","165.0","158.0","180.0"
"2017-09-10 17:35:13","0.0","3.960001","164.0","157.0","179.0"
"2017-09-10 17:40:13","0.0","4.109598","164.0","157.0","208.0"
"2017-09-10 17:45:13","0.0","4.963993","164.0","157.0","234.0"
"2017-09-10 17:50:12","0.0","2.224","162.0","158.0","173.0"
"2017-09-10 17:55:12","0.0","2.731999","162.0","157.0","178.0"
"2017-09-10 18:00:12","0.0","2.74","163.0","157.0","171.0"
"2017-09-10 18:05:13","0.0","5.963179","165.0","157.0","206.0"
"2017-09-10 18:10:12","0.0","4.990394","164.0","158.0","191.0"
"2017-09-10 18:15:12","0.0","4.968002","164.0","157.0","182.0"
"2017-09-10 18:20:13","0.0","3.559994","164.0","158.0","199.0"
"2017-09-10 18:25:14","0.0","4.365597","164.0","157.0","197.0"
"2017-09-10 18:30:12","0.0","4.103999","164.0","158.0","214.0"
"2017-09-10 18:35:12","0.0","2.987994","162.0","157.0","178.0"
"2017-09-10 18:40:16","0.0","2.6928","161.0","156.0","171.0"
"2017-09-10 18:45:14","0.0","2.545601","162.0","156.0","169.0"
"2017-09-10 18:50:12","0.0","3.0992","163.0","158.0","176.0"
"2017-09-10 18:55:13","0.0","1.84","161.0","157.0","166.0"
"2017-09-10 19:00:12","0.0","2.303203","162.0","158.0","169.0"
"2017-09-10 19:05:13","0.0","4.040004","164.0","157.0","184.0"
"2017-09-10 19:10:13","0.0","5.738384","166.0","159.0","204.0"
"2017-09-10 19:15:13","0.0","2.734398","163.0","156.0","178.0"
"2017-09-10 19:20:12","0.0","3.783996","164.0","158.0","225.0"
"2017-09-10 19:25:13","0.0","7.699204","168.0","159.0","242.0"
"2017-09-10 19:30:12","0.0","3.391194","164.0","158.0","182.0"
"2017-09-10 19:35:13","0.0","7.619211","166.0","157.0","224.0"
"2017-09-10 19:40:12","0.0","2.772","163.0","158.0","171.0"
"2017-09-10 19:45:12","0.0","4.664004","164.0","157.0","198.0"
"2017-09-10 19:50:12","0.0","4.747196","164.0","157.0","185.0"
"2017-09-10 19:55:12","0.0","3.944001","165.0","156.0","184.0"
"2017-09-10 20:00:12","0.0","4.998395","165.0","156.0","200.0"
"2017-09-10 20:05:13","0.0","2.648003","163.0","158.0","173.0"
"2017-09-10 20:10:13","0.0","8.059221","168.0","156.0","224.0"
"2017-09-10 20:15:12","0.0","3.715201","164.0","157.0","183.0"
"2017-09-10 20:20:12","0.0","2.991201","163.0","157.0","180.0"
"2017-09-10 20:25:12","0.0","9.984004","168.0","156.0","241.0"
"2017-09-10 20:30:12","0.0","4.740803","164.0","157.0","200.0"
"2017-09-10 20:35:13","0.0","3.478406","164.0","158.0","173.0"
"2017-09-10 20:40:11","0.0","3.647999","164.0","158.0","178.0"
"2017-09-10 20:45:12","0.0","3.411201","164.0","157.0","181.0"
"2017-09-10 20:50:12","0.0","3.151987","163.0","157.0","179.0"
"2017-09-10 20:55:12","0.0","8.709573","168.0","158.0","228.0"
"2017-09-10 21:00:12","0.0","6.487998","167.0","156.0","219.0"
"2017-09-10 21:05:12","0.0","3.2512","164.0","157.0","179.0"
"2017-09-10 21:10:13","0.0","2.3632","163.0","158.0","172.0"
"2017-09-10 21:15:12","0.0","8.43039","168.0","158.0","235.0"
"2017-09-10 21:20:12","0.0","3.727999","164.0","157.0","198.0"
"2017-09-10 21:25:12","0.0","2.952793","163.0","158.0","174.0"
"2017-09-10 21:30:14","0.0","8.680812","167.0","158.0","219.0"
"2017-09-10 21:35:13","0.0","5.348801","165.0","157.0","201.0"
"2017-09-10 21:40:14","0.0","8.815993","167.0","158.0","232.0"
"2017-09-10 21:45:12","0.0","3.181596","163.0","158.0","178.0"
"2017-09-10 21:50:13","0.0","2.474403","162.0","158.0","172.0"
"2017-09-10 21:55:12","0.0","3.422396","164.0","157.0","179.0"
"2017-09-10 22:00:13","0.0","3.459998","162.0","157.0","182.0"
"2017-09-10 22:05:13","0.0","2.697605","163.0","157.0","173.0"
"2017-09-10 22:10:12","0.0","1.937603","162.0","158.0","169.0"
"2017-09-10 22:15:12","0.0","4.180803","164.0","157.0","189.0"
"2017-09-10 22:20:12","0.0","3.113602","163.0","158.0","174.0"
"2017-09-10 22:25:13","0.0","6.192007","166.0","158.0","206.0"
"2017-09-10 22:30:13","0.0","3.420805","163.0","157.0","178.0"
"2017-09-10 22:35:12","0.0","3.528794","164.0","157.0","178.0"
"2017-09-10 22:40:12","0.0","3.0288","163.0","158.0","180.0"
"2017-09-10 22:45:13","0.0","4.8608","165.0","158.0","214.0"
